site,modularity,net.metrics.wconnec1,net.metrics.nest,net.metrics.links,net.metrics.linkage,net.metrics.evenn
67_1,0.279513889,0.132575468,15.50355774,0.96,3.314386698,0.533252612
24_1,0.2275,0.247927676,26,1,2.727204441,0.632519033
33_2,0.24,0.306698471,62.5,0.875,2.453587769,0.664141191
35_2,0.347222222,0.201498303,14.88095238,1,3.425471157,0.672748541
Rebio,0.351111111,0.276283259,9.523809524,1,3.59168237,0.704115423
50_1,0.229591837,0.301403981,27.08333333,1.111111111,2.712635831,0.73624682
51_1,0.530612245,0.151956678,8.84009009,0.916666667,3.646960273,0.611484951
78_4,0.280612245,0.132994553,12.96296296,0.9,2.659891058,0.507189814
78_1.,0.226666667,0.215541717,30.43478261,0.928571429,3.017584034,0.578023166
89_3.,0.44,0.257142857,0,0.714285714,1.8,0.647685462
112_2.,0.244897959,0.373062386,50,0.8,1.86531193,0.712726391
116_4.,0.4375,0.25,0,0.666666667,1.5,0.630929754
118_1.,0.408163265,0.261095791,0,0.666666667,1.566574746,0.614123664
120_1.,0.444444444,0.266666667,0,0.6,1.333333333,0.613147193
131_1.,0.244897959,0.359797608,55.55555556,0.857142857,2.518583256,0.703393867
171_1.,0.16,0.399667064,75,0.8,1.998335322,0.743503279
187_1.,,0.5,NA,0.5,1,NA
187_3.,0.055555556,0.385288518,100,0.75,1.541154074,0.625814584
46_1.,0.46875,0.268539199,0,0.777777778,2.416852795,0.722286221
